Date/Time (EST),Precipitation (mm)
2016-01-01 00:00:00,150.0
2016-01-01 00:03:00,142.1578947368421
2016-01-01 00:06:00,134.31578947368422
2016-01-01 00:09:00,126.47368421052632
2016-01-01 00:12:00,118.63157894736842
2016-01-01 00:15:00,110.78947368421052
2016-01-01 00:18:00,102.94736842105263
2016-01-01 00:21:00,95.10526315789474
2016-01-01 00:24:00,87.26315789473685
2016-01-01 00:27:00,79.42105263157895
2016-01-01 00:30:00,71.57894736842105
2016-01-01 00:33:00,63.736842105263165
2016-01-01 00:36:00,55.89473684210526
2016-01-01 00:39:00,48.05263157894737
2016-01-01 00:42:00,40.21052631578948
2016-01-01 00:45:00,32.368421052631575
2016-01-01 00:48:00,24.526315789473685
2016-01-01 00:51:00,16.68421052631578
2016-01-01 00:54:00,8.84210526315789
2016-01-01 00:57:00,1.0
